timestamp(ms);signal;
"1750943843.3";"131338";
"1750943843.379";"131062";
"1750943843.459";"130927";
"1750943843.539";"130984";
"1750943843.619";"131035";
"1750943843.699";"131066";
"1750943843.779";"131168";
"1750943843.859";"131269";
"1750943843.939";"131381";
"1750943844.019";"131326";
"1750943844.099";"131010";
"1750943844.179";"131016";
"1750943844.259";"131132";
"1750943844.34";"131183";
"1750943844.419";"131236";
"1750943844.499";"131333";
"1750943844.58";"131438";
"1750943844.659";"131510";
"1750943844.739";"131220";
"1750943844.817";"131068";
"1750943844.897";"131161";
"1750943844.977";"131249";
"1750943845.058";"131279";
"1750943845.138";"131349";
"1750943845.217";"131406";
"1750943845.297";"131482";
"1750943845.378";"131283";
"1750943845.457";"130962";
"1750943845.538";"131009";
"1750943845.617";"131097";
"1750943845.698";"131095";
"1750943845.777";"131127";
"1750943845.858";"131177";
"1750943845.937";"131214";
"1750943846.017";"131131";
"1750943846.098";"130813";
"1750943846.177";"130791";
"1750943846.258";"130880";
"1750943846.338";"130925";
"1750943846.418";"130962";
"1750943846.498";"131032";
"1750943846.578";"131113";
"1750943846.658";"131140";
"1750943846.738";"130828";
"1750943846.817";"130695";
"1750943846.898";"130773";
"1750943846.979";"130847";
"1750943847.057";"130885";
"1750943847.137";"131010";
"1750943847.217";"131102";
"1750943847.298";"131167";
"1750943847.377";"130997";
"1750943847.458";"130707";
"1750943847.538";"130745";
"1750943847.618";"130851";
"1750943847.698";"130874";
"1750943847.777";"130939";
"1750943847.857";"131037";
"1750943847.938";"131134";
"1750943848.018";"131117";
"1750943848.098";"130765";
"1750943848.177";"130708";
"1750943848.257";"130797";
"1750943848.338";"130811";
"1750943848.417";"130850";
"1750943848.497";"130940";
"1750943848.577";"131022";
"1750943848.657";"131085";
"1750943848.738";"130813";
"1750943848.818";"130627";
"1750943848.897";"130701";
"1750943848.978";"130786";
"1750943849.058";"130786";
"1750943849.137";"130810";
"1750943849.217";"130862";
"1750943849.297";"130940";
"1750943849.377";"130816";
"1750943849.457";"130500";
"1750943849.538";"130502";
"1750943849.617";"130609";
"1750943849.697";"130620";
"1750943849.777";"130677";
"1750943849.858";"130751";
"1750943849.937";"130800";
"1750943850.018";"130805";
"1750943850.097";"130509";
"1750943850.178";"130385";
"1750943850.258";"130501";
"1750943850.335";"130597";
"1750943850.416";"130624";
"1750943850.495";"130710";
"1750943850.575";"130796";
"1750943850.656";"130891";
"1750943850.736";"130762";
"1750943850.816";"130468";
"1750943850.895";"130502";
"1750943850.975";"130597";
"1750943851.055";"130608";
"1750943851.136";"130687";
"1750943851.216";"130787";
"1750943851.296";"130870";
"1750943851.375";"130868";
"1750943851.455";"130502";
"1750943851.535";"130419";
"1750943851.616";"130520";
"1750943851.696";"130590";
"1750943851.776";"130629";
"1750943851.855";"130731";
"1750943851.936";"130790";
"1750943852.016";"130856";
"1750943852.095";"130611";
"1750943852.175";"130314";
"1750943852.255";"130362";
"1750943852.336";"130483";
"1750943852.416";"130512";
"1750943852.495";"130584";
"1750943852.575";"130697";
"1750943852.655";"130781";
"1750943852.735";"130806";
"1750943852.816";"130440";
"1750943852.895";"130334";
"1750943852.975";"130391";
"1750943853.064";"130492";
"1750943853.136";"130562";
"1750943853.216";"130609";
"1750943853.295";"130649";
"1750943853.375";"130754";
"1750943853.455";"130618";
"1750943853.535";"130504";
"1750943853.615";"130688";
"1750943853.696";"130817";
"1750943853.775";"130803";
"1750943853.856";"130826";
"1750943853.936";"130909";
"1750943854.015";"130939";
"1750943854.095";"130792";
"1750943854.176";"130461";
"1750943854.256";"130463";
"1750943854.336";"130534";
"1750943854.416";"130599";
"1750943854.496";"130664";
"1750943854.576";"130759";
"1750943854.655";"130929";
"1750943854.735";"130949";
"1750943854.815";"130618";
"1750943854.896";"130583";
"1750943854.976";"130663";
"1750943855.056";"130693";
"1750943855.136";"130812";
"1750943855.216";"130963";
"1750943855.296";"131060";
"1750943855.376";"131103";
"1750943855.456";"130722";
"1750943855.536";"130572";
"1750943855.616";"130661";
"1750943855.696";"130763";
"1750943855.775";"130799";
"1750943855.855";"130913";
"1750943855.935";"131022";
"1750943856.016";"131134";
"1750943856.096";"130903";
"1750943856.176";"130621";
"1750943856.256";"130709";
"1750943856.335";"130841";
"1750943856.415";"130879";
"1750943856.496";"130975";
"1750943856.576";"131077";
"1750943856.654";"131151";
"1750943856.733";"131003";
"1750943856.814";"130606";
"1750943856.893";"130644";
"1750943856.974";"130797";
"1750943857.054";"130848";
"1750943857.133";"130921";
"1750943857.213";"131037";
"1750943857.294";"131127";
"1750943857.373";"131170";
"1750943857.454";"130754";
"1750943857.534";"130617";
"1750943857.614";"130737";
"1750943857.694";"130845";
"1750943857.773";"130897";
"1750943857.854";"131031";
"1750943857.934";"131164";
"1750943858.014";"131283";
"1750943858.094";"131188";
"1750943858.174";"130770";
"1750943858.254";"130830";
